qid,placeholder,placeholder,pred,label
240,,,"['horror', 'action', 'adventure', 'fantasy', 'western', 'drama', 'thriller', 'romance', 'comedy']","['mystery', 'romance', 'horror', 'crime', 'drama', 'fantasy', 'western', 'action', 'comedy', 'war', 'thriller', 'adventure']"
260,,,"['peter_sellers', 'martin_milner', 'joan_greenwood', 'susan_harrison', 'herbert_lom', 'tony_curtis', 'claudia_cardinale', 'alec_guinness', 'tom_hanks', 'marlon_wayans', 'cecil_parker', 'irma_p._hall', 'burt_lancaster']","['marlon_wayans', 'herbert_lom', 'joan_greenwood', 'cecil_parker', 'tom_hanks', 'claudia_cardinale', 'susan_harrison', 'irma_p._hall', 'burt_lancaster', 'peter_sellers', 'alec_guinness', 'tony_curtis', 'martin_milner']"
280,,,['chris_rock'],['chris_rock']
300,,,"['georgina_reilly', 'callum_keith_rennie', 'hugh_dillon', 'bernie_coulson', 'greg_calderone', 'ellen_page']","['ellen_page', 'bernie_coulson', 'bruce_mcdonald', 'greg_calderone', 'callum_keith_rennie', 'hugh_dillon', 'georgina_reilly']"
320,,,"['carlo_verdone', 'silvio_soldini', 'maria_sole_tognazzi']","['maria_sole_tognazzi', 'silvio_soldini', 'carlo_verdone']"
340,,,"['charles_dickens', 'frederic_raphael', 'malcolm_lowry', 'carol_sobieski', 'kelly_masterson', 'michael_wadleigh', 'guy_gallo', 'neville_smith', 'leslie_bricusse', 'thomas_meehan', 'ronald_harwood', 'harold_gray', 'terence_rattigan', 'john_august', 'josephine_humphreys', 'daniel_wallace', 'whitley_strieber', 'alan_sillitoe', 'will_gluck', 'bo_goldman', 'shane_connaughton', 'peter_mayle', 'michael_crichton']","['leslie_bricusse', 'neville_smith', 'will_gluck', 'whitley_strieber', 'michael_wadleigh', 'shane_connaughton', 'thomas_meehan', 'kelly_masterson', 'malcolm_lowry', 'guy_gallo', 'josephine_humphreys', 'ronald_harwood', 'terence_rattigan', 'carol_sobieski', 'john_august', 'harold_gray', 'peter_mayle', 'alan_sillitoe', 'michael_crichton', 'bo_goldman', 'charles_dickens', 'frederic_raphael', 'daniel_wallace']"
360,,,"['biography', 'drama', 'music', 'mystery', 'crime', 'adventure', 'comedy']","['mystery', 'crime', 'drama', 'music', 'adventure', 'comedy', 'biography']"
380,,,"['2010', '2004']","['2010', '2004']"
400,,,"['1989', '1999', '2000', '2002', '1973', '1985', '1982', '1992', '1997', '1991', '2007', '1987', '1994', '1996', '1977', '1983', '2009', '1986', '2011', '2004', '1971', '1984']","['1986', '1987', '1984', '1985', '1982', '1983', '1989', '2011', '1953', '1991', '1992', '1994', '1997', '1996', '1999', '1973', '1971', '2002', '1977', '2000', '2006', '2007', '2004', '2009']"
420,,,"['2003', '2007', '2000', '2004', '1998', '1994', '1955', '2008', '2009', '2013']","['1994', '1998', '1955', '2003', '2000', '2001', '2006', '2007', '2004', '2008', '2009', '2013']"
440,,,"['1979', '1999', '2007', '1991', '1981', '1992', '1960', '1920', '2002', '2001', '1995', '1977', '1972', '1983', '1936', '2009', '2006']","['1991', '1920', '1992', '1995', '1983', '1979', '1981', '1977', '1960', '1972', '2002', '1999', '2001', '2006', '2007', '2009', '1936']"
460,,,"['chris_klein', 'hugh_grant', 'thomas_ian_nicholas', 'alyson_hannigan', 'jason_biggs', 'nicholas_hoult']","['chris_klein', 'hugh_grant', 'nicholas_hoult', 'jason_biggs', 'alyson_hannigan', 'thomas_ian_nicholas']"
480,,,"['drama', 'crime', 'action']","['action', 'drama', 'crime']"
500,,,"['philip_yordan', 'richard_brooks', 'claude_stanush', 'robert_buckner', 'david_dortort', 'frank_burt', 'don_mankiewicz', 'sinclair_lewis', 'baynard_kendrick', 'alf_sjöberg', 'horace_mccoy', 'thomas_t._flynn', 'pär_lagerkvist']","['don_mankiewicz', 'thomas_t._flynn', 'horace_mccoy', 'baynard_kendrick', 'philip_yordan', 'sinclair_lewis', 'david_dortort', 'robert_buckner', 'frank_burt', 'claude_stanush', 'richard_brooks', 'alf_sjöberg', 'pär_lagerkvist']"
520,,,"['emilio_fernández', 'david_s._ward', 'victor_fleming', 'john_ford', 'gary_sinise', 'lewis_milestone', 'elia_kazan']","['elia_kazan', 'david_s._ward', 'gary_sinise', 'victor_fleming', 'emilio_fernández', 'lewis_milestone', 'john_ford']"
540,,,"['horror', 'action', 'western', 'documentary', 'comedy']","['action', 'horror', 'comedy', 'documentary', 'western']"
560,,,"['christopher_reeve', 'meg_ryan', 'kim_cattrall', 'robert_loggia', 'don_rickles', 'billy_crudup', 'david_morrissey', 'michael_sheen', 'william_h._macy', 'ned_beatty', 'christian_slater', 'fred_macmurray', 'keke_palmer', 'colm_feore', 'edward_kerr', 'selma_blair', 'joan_crawford']","['william_h._macy', 'christopher_reeve', 'michael_sheen', 'joan_crawford', 'colm_feore', 'ned_beatty', 'robert_loggia', 'don_rickles', 'edward_kerr', 'meg_ryan', 'selma_blair', 'david_morrissey', 'keke_palmer', 'fred_macmurray', 'kim_cattrall', 'billy_crudup', 'christian_slater']"
580,,,"['2010', '1993']","['1993', '2010']"
600,,,"['action', 'history', 'war', 'drama', 'crime']","['drama', 'action', 'crime', 'war', 'history']"
620,,,['2002'],['2002']
640,,,"['horror', 'biography', 'drama', 'romance', 'comedy']","['drama', 'romance', 'horror', 'comedy', 'biography']"
660,,,Abstain,"['tony_richardson', 'robert_altman', 'neil_armfield', 'dennis_hopper', 'joseph_mcgrath', 'christian_marquand']"
680,,,"['action', 'thriller', 'drama', 'crime', 'comedy']","['action', 'drama', 'comedy', 'thriller', 'crime']"
700,,,"['1967', '1986', '1979', '1965', '1999', '1982', '1948', '2011', '1992', '2005', '2002', '2010', '1994', '1976', '1971', '1974', '1988', '2013']","['1986', '1948', '1992', '1982', '1994', '1979', '1999', '1965', '1974', '1967', '1971', '2002', '1988', '2005', '1976', '2011', '2010', '2013']"
720,,,['paolo_sorrentino'],['paolo_sorrentino']
740,,,"['italian', 'french']","['french', 'italian']"
760,,,"['fay_weldon', 'mark_r._burns', 'shelly_gitlow', 'barbara_wilson', 'david_cramer', 'barry_strugatz']","['susan_seidelman', 'barbara_wilson', 'barry_strugatz', 'fay_weldon', 'david_cramer', 'shelly_gitlow', 'mark_r._burns']"
780,,,"['mike_figgis', 'david_gordon_green', 'jon_turteltaub', 'jon_amiel', 'harold_becker', 'stephen_daldry', 'steven_spielberg', 'mel_brooks', 'arie_posin', 'roland_emmerich', 'wes_craven', 'jonathan_kaplan', 'carl_reiner', 'gary_goldman', 'john_dahl', 'edward_zwick', 'kevin_macdonald', 'curtiss_clayton', 'doug_liman', 'donald_petrie', 'david_lynch', 'steve_miner', 'don_bluth', 'wim_wenders', 'jake_kasdan']","['wes_craven', 'arie_posin', 'steven_spielberg', 'jon_turteltaub', 'mike_figgis', 'wim_wenders', 'john_dahl', 'curtiss_clayton', 'david_lynch', 'carl_reiner', 'jonathan_kaplan', 'steve_miner', 'don_bluth', 'edward_zwick', 'donald_petrie', 'david_gordon_green', 'kevin_macdonald', 'doug_liman', 'gary_goldman', 'stephen_daldry', 'roland_emmerich', 'jake_kasdan', 'mel_brooks', 'harold_becker', 'jon_amiel']"
800,,,['1968'],['1968']
820,,,"['horror', 'war', 'drama', 'mystery', 'thriller', 'comedy']","['mystery', 'horror', 'drama', 'adventure', 'comedy', 'war', 'thriller']"
840,,,['dylan_thomas'],['dylan_thomas']
860,,,"['1989', '1999', '1978', '1997', '1992', '2014', '2010', '2002', '1994', '1993', '2013', '2006']","['1993', '1992', '1994', '1997', '1978', '1999', '1989', '2002', '2006', '2010', '2014', '1958', '2013']"
880,,,"['1980', '1970', '1978', '1977']","['1977', '1970', '1980', '1978']"
900,,,"['horror', 'musical', 'fantasy', 'western', 'mystery', 'thriller', 'animation', 'comedy']","['mystery', 'horror', 'fantasy', 'animation', 'western', 'comedy', 'musical', 'thriller']"
920,,,"['j._lee_thompson', 'john_guillermin', 'george_marshall']","['john_guillermin', 'george_marshall', 'j._lee_thompson']"
940,,,"['2002', '1999']","['2002', '1999']"
960,,,"['neil_burger', 'jacques_tati', 'sylvain_chomet']","['neil_burger', 'sylvain_chomet', 'jacques_tati']"
980,,,"['drama', 'comedy', 'music', 'action']","['action', 'drama', 'comedy', 'music']"
1000,,,"['1988', '2004', '1994', '2001']","['2001', '1988', '2004', '1994']"
1020,,,Abstain,['french']
1040,,,"['richard_jaeckel', 'lee_marvin', 'wendell_corey', 'laurene_landon', 'vicki_frederick', 'anita_ekberg', 'robert_strauss', 'joseph_cotten', 'charles_bronson', 'bruce_davison', 'denise_darcel', 'ralph_meeker', 'ernest_borgnine', 'dorothy_malone', 'bette_davis', 'cesar_romero', 'kirk_douglas', 'martine_carol', 'ida_lupino', 'eddie_albert', 'gary_cooper', 'kim_novak', 'jack_palance', 'cliff_robertson', 'frank_sinatra', 'peter_finch', 'jeff_chandler', 'paul_winfield', 'ursula_andress', 'harrison_ford', 'gene_wilder', 'catherine_deneuve', 'burt_lancaster', 'ben_johnson', 'jean_hagen', 'rock_hudson', 'burt_reynolds', 'dean_martin', 'hardy_krüger', 'jim_brown', 'richard_attenborough', 'peter_falk', 'james_stewart', 'joan_crawford']","['cesar_romero', 'jeff_chandler', 'richard_jaeckel', 'joan_crawford', 'frank_sinatra', 'ida_lupino', 'gary_cooper', 'burt_lancaster', 'dean_martin', 'ben_johnson', 'jim_brown', 'bruce_davison', 'catherine_deneuve', 'peter_falk', 'dorothy_malone', 'burt_reynolds', 'kirk_douglas', 'kim_novak', 'hardy_krüger', 'bette_davis', 'anita_ekberg', 'ernest_borgnine', 'gene_wilder', 'joseph_cotten', 'lee_marvin', 'cliff_robertson', 'eddie_albert', 'martine_carol', 'rock_hudson', 'jean_hagen', 'charles_bronson', 'robert_strauss', 'paul_winfield', 'peter_finch', 'ralph_meeker', 'vicki_frederick', 'harrison_ford', 'ursula_andress', 'wendell_corey', 'denise_darcel', 'james_stewart', 'jack_palance', 'laurene_landon', 'richard_attenborough']"
1060,,,['persian'],['persian']
1080,,,"['horror', 'action', 'thriller', 'drama', 'music', 'crime', 'comedy']","['horror', 'crime', 'drama', 'music', 'action', 'comedy', 'thriller']"
1100,,,"['crime', 'action', 'thriller', 'comedy']","['action', 'comedy', 'thriller', 'crime']"
1120,,,Abstain,['dominik_moll']
1140,,,"['2003', '2007', '2005', '2001', '1995', '1996']","['1995', '1983', '1980', '1996', '2003', '2001', '2007', '2005']"
1160,,,"['iron_eyes_cody', 'jim_varney']","['jim_varney', 'iron_eyes_cody']"
1180,,,"['marjorie_carleton', 'wilkie_collins', 'martin_vale', 'margaret_kennedy', 'edith_kneipple_roberts', 'charles_hoffman', 'thomas_job']","['edith_kneipple_roberts', 'thomas_job', 'charles_hoffman', 'martin_vale', 'wilkie_collins', 'margaret_kennedy', 'marjorie_carleton']"
1200,,,"['vanessa_redgrave', 'jane_fonda', 'tilda_swinton', 'jason_robards']","['tilda_swinton', 'jane_fonda', 'jason_robards', 'vanessa_redgrave']"
1220,,,"['drama', 'war']","['drama', 'war']"
1240,,,"['1999', '1997', '2007', '2000', '2005', '2004', '2002', '2001', '2010', '2009', '2013', '2006', '2012']","['1997', '1999', '2002', '2000', '2001', '2006', '2007', '2004', '2005', '2009', '2010', '2013', '2012']"
1260,,,Abstain,['japanese']
1280,,,"['1938', '1999', '2010', '2008', '1985', '1933', '1936', '1948', '1981', '1952', '1947', '1951', '2001', '1994', '1996', '1932', '1937', '1941', '1946']","['1922', '1948', '1985', '1981', '1941', '1946', '1947', '2010', '1933', '1932', '1931', '1951', '1936', '1954', '1952', '1938', '1994', '1996', '1999', '2001', '1937', '2008']"
1300,,,Abstain,"['danish', 'korean']"
1320,,,"['1944', '1941', '1963']","['1941', '1944', '1963']"
1340,,,"['devery_freeman', 'dashiell_hammett', 'sid_silvers', 'jack_mcgowan', 'edgar_allan_poe', 'moss_hart', 'booth_tarkington', 'george_s._kaufman', 'harry_w._conn', 'john_d._klorer', 'brown_holmes', 'rosalind_keating_shaffer', 'maude_fulton', 'john_huston', 'roland_kibbee']","['john_huston', 'harry_w._conn', 'edgar_allan_poe', 'dashiell_hammett', 'george_s._kaufman', 'brown_holmes', 'roland_kibbee', 'moss_hart', 'devery_freeman', 'rosalind_keating_shaffer', 'jack_mcgowan', 'john_d._klorer', 'maude_fulton', 'booth_tarkington', 'sid_silvers']"
1360,,,Abstain,"['gregory_peck', 'leo_genn', 'richard_basehart', 'david_paymer', 'crispin_glover', 'catherine_deneuve', 'guillaume_depardieu', 'yekaterina_golubeva', 'peter_ustinov', 'robert_ryan']"
1380,,,['2011'],['2011']
1400,,,"['1999', '1975', '2011', '2003', '2007', '2000', '2005', '2002', '2001', '1995', '1996', '1973', '1974', '1993', '1990', '2013']","['1990', '1993', '1995', '1996', '1999', '1975', '1974', '1973', '2002', '2003', '2000', '2001', '2007', '2005', '2011', '2013']"
1420,,,Abstain,"['mark_a._altman', 'robert_meyer_burnett']"
1440,,,"['stanley_donen', 'martin_scorsese', 'steven_soderbergh', 'jay_roach', 'desmond_davis', 'clive_donner', 'robert_altman', 'lech_majewski', 'alan_j._pakula', 'john_frankenheimer', 'richard_stanley', 'don_taylor', 'michael_anderson', 'david_greene', 'robert_marcarelli', 'marty_feldman', 'robert_zemeckis', 'harold_prince']","['desmond_davis', 'michael_anderson', 'marty_feldman', 'robert_altman', 'robert_zemeckis', 'harold_prince', 'alan_j._pakula', 'stanley_donen', 'robert_marcarelli', 'richard_stanley', 'jay_roach', 'david_greene', 'clive_donner', 'don_taylor', 'lech_majewski', 'john_frankenheimer', 'steven_soderbergh', 'martin_scorsese']"
1460,,,"['elfriede_jelinek', 'santo_cilauro', 'michael_haneke', 'tom_gleisner', 'rob_sitch']","['elfriede_jelinek', 'michael_haneke', 'santo_cilauro', 'tom_gleisner', 'rob_sitch']"
1480,,,"['1979', '1978', '1960', '1961', '1972']","['1978', '1960', '1972', '1979', '1961']"
1500,,,"['clarence_brown', 'luis_mandoki', 'george_cukor', 'george_seaton', 'vincente_minnelli', 'mark_robson', 'henry_hathaway', 'john_gilling', 'fritz_lang', 'robert_wise', 'andrew_marton', 'george_marshall', 'elia_kazan']","['elia_kazan', 'fritz_lang', 'henry_hathaway', 'luis_mandoki', 'george_seaton', 'vincente_minnelli', 'mark_robson', 'john_gilling', 'george_cukor', 'andrew_marton', 'clarence_brown', 'george_marshall', 'robert_wise']"
1520,,,"['horror', 'comedy']","['horror', 'comedy']"
1540,,,"['horror', 'action', 'thriller', 'drama', 'mystery', 'crime', 'romance', 'comedy']","['mystery', 'drama', 'horror', 'crime', 'romance', 'action', 'comedy', 'thriller']"
1560,,,"['action', 'fantasy', 'war', 'drama', 'music', 'adventure', 'comedy']","['drama', 'fantasy', 'music', 'adventure', 'action', 'comedy', 'war']"
1580,,,"['jack_palance', 'lee_van_cleef']","['lee_van_cleef', 'jack_palance']"
1600,,,"['donald_sutherland', 'gena_rowlands', 'jill_clayburgh', 'richard_dreyfuss', 'art_carney', 'alejandro_rey', 'susan_anspach', 'robin_williams', 'cleavant_derricks', 'kris_kristofferson', 'nick_nolte', 'george_segal', 'ellen_burstyn', 'marsha_mason', 'meg_mazursky', 'bette_midler', 'susan_sarandon', 'john_cassavetes', 'little_richard', 'woody_allen']","['robin_williams', 'marsha_mason', 'donald_sutherland', 'alejandro_rey', 'susan_sarandon', 'meg_mazursky', 'art_carney', 'john_cassavetes', 'george_segal', 'ellen_burstyn', 'jill_clayburgh', 'woody_allen', 'nick_nolte', 'richard_dreyfuss', 'bette_midler', 'little_richard', 'gena_rowlands', 'cleavant_derricks', 'kris_kristofferson', 'susan_anspach']"
1620,,,"['drama', 'crime', 'mystery', 'thriller', 'comedy']","['drama', 'mystery', 'comedy', 'thriller', 'crime']"
1640,,,"['drama', 'crime']","['drama', 'crime']"
1660,,,"['jay_cocks', 'richard_price', 'irwin_winkler', 'gerald_kersh']","['irwin_winkler', 'gerald_kersh', 'jay_cocks', 'richard_price']"
1680,,,"['horror', 'action', 'war', 'drama', 'mystery', 'thriller', 'adventure', 'comedy']","['mystery', 'horror', 'drama', 'adventure', 'action', 'comedy', 'war', 'thriller']"
1700,,,"['ronnie_gene_blevins', 'tye_sheridan', 'nicolas_cage', 'susan_sarandon']","['tye_sheridan', 'nicolas_cage', 'ronnie_gene_blevins', 'susan_sarandon']"
1720,,,"['1937', '1950', '1946', '2014', '1929', '1931', '1933', '1932']","['1946', '1933', '1932', '1931', '1937', '1950', '2014', '1929']"
1740,,,"['anthony_franciosa', 'jess_weixler', 'russ_tamblyn', 'michael_rennie', 'keith_poulson', 'claire_trevor', 'rossana_podestà', 'natalie_wood', 'audrey_totter', 'julie_andrews', 'hugh_marlowe', 'bela_lugosi', 'robert_ryan', 'robert_mitchum', 'nastassja_kinski', 'kate_reid', 'barbara_bel_geddes', 'simon_oakland', 'patricia_neal', 'liam_neeson', 'william_lundigan', 'walter_slezak', 'ruby_dee', 'james_olson', 'anthony_hopkins', 'boris_karloff', 'peter_falk', 'arthur_hill', 'richard_crenna', 'richard_johnson', 'lawrence_tierney', 'steve_mcqueen', 'owen_wilson', 'keanu_reeves', 'paul_douglas', 'theodore_bikel', 'julie_harris', 'nick_offerman', 'fredric_march', 'robert_preston', 'marsha_mason', 'susan_swift', 'cedric_hardwicke', 'david_wayne', 'william_holden', 'candice_bergen', 'george_c._scott', 'susan_hayward', 'rita_moreno', 'richard_basehart', 'valentina_cortese', 'stanley_baker', 'andrew_mccarthy', 'shirley_maclaine', 'jean_simmons', 'christopher_plummer', 'james_cagney', 'barbara_stanwyck', 'lili_taylor', 'richard_burton', 'jacques_sernas', 'richard_attenborough', 'claire_bloom']","['david_wayne', 'christopher_plummer', 'lili_taylor', 'barbara_bel_geddes', 'boris_karloff', 'owen_wilson', 'richard_basehart', 'julie_harris', 'walter_slezak', 'peter_falk', 'liam_neeson', 'simon_oakland', 'marsha_mason', 'jean_simmons', 'james_cagney', 'claire_bloom', 'rossana_podestà', 'stanley_baker', 'rita_moreno', 'theodore_bikel', 'steve_mcqueen', 'michael_rennie', 'natalie_wood', 'richard_beymer', 'susan_swift', 'valentina_cortese', 'barbara_stanwyck', 'nick_offerman', 'cedric_hardwicke', 'kate_reid', 'arthur_hill', 'george_c._scott', 'anthony_hopkins', 'richard_johnson', 'keanu_reeves', 'audrey_totter', 'candice_bergen', 'jacques_sernas', 'paul_douglas', 'patricia_neal', 'lawrence_tierney', 'james_olson', 'bela_lugosi', 'andrew_mccarthy', 'shirley_maclaine', 'claire_trevor', 'robert_mitchum', 'keith_poulson', 'richard_burton', 'nastassja_kinski', 'fredric_march', 'julie_andrews', 'robert_preston', 'william_holden', 'william_lundigan', 'jess_weixler', 'russ_tamblyn', 'anthony_franciosa', 'hugh_marlowe', 'richard_crenna', 'richard_attenborough', 'robert_ryan', 'ruby_dee', 'susan_hayward']"
1760,,,Abstain,"['dolph_lundgren', 'kim_miyori', 'ray_stevenson', 'christopher_walken', 'elisabeth_shue', 'val_kilmer', ""vincent_d'onofrio"", 'jeroen_krabbé']"
1780,,,"['joyce_brabner', 'jonathan_ames', 'harvey_pekar', 'eleanor_henderson', 'emma_mclaughlin', 'nicola_kraus', 'shari_springer_berman', 'robert_pulcini']","['joyce_brabner', 'emma_mclaughlin', 'jonathan_ames', 'robert_pulcini', 'nicola_kraus', 'shari_springer_berman', 'eleanor_henderson', 'harvey_pekar']"
1800,,,"['dodie_smith', 'scott_lobdell', 'david_loughery', 'don_keith_opper', 'john_j._mclaughlin', 'john_hughes', 'domonic_muir', 'george_macdonald_fraser']","['patrick_sheane_duncan', 'don_keith_opper', 'stephen_herek', 'dodie_smith', 'domonic_muir', 'george_macdonald_fraser', 'john_j._mclaughlin', 'john_hughes', 'david_loughery', 'scott_lobdell']"
1820,,,['drama'],['drama']
1840,,,"['david_silverman', 'martin_scorsese', 'ethan_coen', 'gillies_mackinnon', 'zack_snyder', 'george_cukor', 'david_byrne', 'joel_coen', 'jim_mcbride', 'bryan_gordon', 'matt_aselton', 'milcho_manchevski', 'glenn_jordan', 'harold_becker', 'uli_edel', 'brian_levant', 'lee_unkrich', 'joe_dante', 'steven_spielberg', 'mike_nichols', 'elia_kazan', 'ben_affleck', 'david_caesar', 'luis_mandoki', 'jonathan_teplitzky', 'frank_marshall', 'sylvie_verheyde', 'gregory_hoblit', 'pete_docter', 'taylor_hackford', 'larry_charles', 'dan_scanlon', 'philipp_stölzl', 'david_kendall', 'john_erman']","['joel_coen', 'elia_kazan', 'ben_affleck', 'david_kendall', 'steven_spielberg', 'brian_levant', 'george_cukor', 'philipp_stölzl', 'mike_nichols', 'sylvie_verheyde', 'milcho_manchevski', 'frank_marshall', 'ethan_coen', 'lee_unkrich', 'matt_aselton', 'jonathan_teplitzky', 'zack_snyder', 'john_erman', 'joe_dante', 'luis_mandoki', 'dan_scanlon', 'david_caesar', 'taylor_hackford', 'gillies_mackinnon', 'gregory_hoblit', 'uli_edel', 'pete_docter', 'larry_charles', 'david_silverman', 'martin_scorsese', 'david_byrne', 'bryan_gordon', 'glenn_jordan', 'harold_becker', 'jim_mcbride']"
1860,,,['kazuaki_kiriya'],['kazuaki_kiriya']
1880,,,"['1999', '2000', '2014', '1998', '2008', '1988', '2013', '1982', '1948', '1981', '1992', '1997', '1991', '1987', '2001', '1994', '1996', '1946', '2005']","['1991', '1987', '1948', '1992', '1982', '1994', '1997', '1996', '1999', '1998', '1981', '1946', '1988', '2000', '2001', '2005', '2014', '2008', '2013']"
1900,,,"['french', 'german']","['german', 'french']"
1920,,,"['action', 'biography', 'romance', 'drama', 'crime', 'adventure', 'comedy']","['romance', 'crime', 'drama', 'adventure', 'action', 'comedy', 'biography']"
1940,,,['comedy'],['comedy']
1960,,,"['1940', '1960', '1964', '1998', '1943', '1948', '1981', '1942', '1957', '1972', '1951', '1944', '1955', '1995', '1939', '1996', '1945', '1966', '1970', '1959', '1941', '1963', '1961', '1974', '1953', '1954']","['1972', '1945', '1948', '1981', '1964', '1943', '1966', '1941', '1960', '1961', '1944', '1963', '1955', '1954', '1957', '1951', '1953', '1939', '1959', '1995', '1996', '1998', '1974', '1931', '1970', '1942', '1940']"
1980,,,"['alejandro_amenábar', 'cameron_crowe', 'amy_heckerling', 'mateo_gil', 'art_linson']","['cameron_crowe', 'amy_heckerling', 'art_linson', 'alejandro_amenábar', 'mateo_gil']"
2000,,,Abstain,"['john_twist', 'davis_grubb', 'wendell_mayes', 'walter_deleon', 'nunnally_johnson', 'dashiell_hammett', 'charles_bennett', 'andré_de_lorde', 'frank_burt', 'charles_lederer', 'will_cook', 'dorothy_m._johnson', 'borden_chase', 'paul_osborn', 'alan_le_may', 'ernest_pagano', 'thelma_strabel', 'rosamond_marshall', 'harold_jack_bloom', 'thomas_t._flynn', 'oliver_parker', 'max_brand', 'philip_van_doren_stern', 'alec_coppel', 'joseph_bologna', 'ketti_frings', 'lewis_r._foster', 'moss_hart', 'charles_brackett', 'paul_dickey', 'oscar_wilde', 'laurence_stallings', 'octave_mirbeau', 'p.j._wolfson', 'willis_goldbeck', 'sam_rolfe', 'don_whitehead', 'samson_raphaelson', 'philip_yordan', 'cornell_woolrich', 'nevil_shute', 'graham_yost', 'richard_l._breen', 'waldo_salt', 'george_s._kaufman', 'miles_hood_swarthout', 'james_lee_barrett', 'robert_l._richards', 'virginia_van_upp', 'c._gardner_sullivan', 'lou_breslow', 'philip_barry', 'dana_burnet', 'john_michael_hayes', 'frank_capra', 'scott_hale', 'miklós_lászló', 'renée_taylor', 'billy_wilder', 'james_warner_bellah', 'john_willard', 'henry_ephron', 'phoebe_ephron', 'burgess_meredith', 'arch_oboler', 'karl_tunberg', 'samuel_a._taylor', 'edward_streeter', 'john_d._voelker', 'donald_ogden_stewart', 'mary_chase', 'johnny_mercer', 'joseph_dougherty', 'charles_w._goddard', 'sidney_buchman', 'glendon_swarthout']"
