qid,placeholder,placeholder,pred,label
500,,,"['baynard_kendrick', 'alf_sjöberg', 'claude_stanush', 'thomas_t._flynn', 'frank_burt', 'horace_mccoy', 'sinclair_lewis', 'don_mankiewicz', 'david_dortort', 'philip_yordan', 'richard_brooks', 'pär_lagerkvist', 'robert_buckner']","['don_mankiewicz', 'thomas_t._flynn', 'horace_mccoy', 'baynard_kendrick', 'philip_yordan', 'sinclair_lewis', 'david_dortort', 'robert_buckner', 'frank_burt', 'claude_stanush', 'richard_brooks', 'alf_sjöberg', 'pär_lagerkvist']"
520,,,"['victor_fleming', 'david_s._ward', 'gary_sinise', 'elia_kazan', 'lewis_milestone', 'emilio_fernández', 'john_ford']","['elia_kazan', 'david_s._ward', 'gary_sinise', 'victor_fleming', 'emilio_fernández', 'lewis_milestone', 'john_ford']"
540,,,"['comedy', 'documentary', 'horror', 'action', 'western']","['action', 'horror', 'comedy', 'documentary', 'western']"
560,,,"['ned_beatty', 'selma_blair', 'billy_crudup', 'michael_sheen', 'fred_macmurray', 'meg_ryan', 'william_h._macy', 'joan_crawford', 'christopher_reeve', 'christian_slater', 'colm_feore', 'robert_loggia', 'david_morrissey', 'edward_kerr', 'kim_cattrall', 'keke_palmer', 'don_rickles']","['william_h._macy', 'christopher_reeve', 'michael_sheen', 'joan_crawford', 'colm_feore', 'ned_beatty', 'robert_loggia', 'don_rickles', 'edward_kerr', 'meg_ryan', 'selma_blair', 'david_morrissey', 'keke_palmer', 'fred_macmurray', 'kim_cattrall', 'billy_crudup', 'christian_slater']"
580,,,Abstain,"['1993', '2010']"
600,,,"['history', 'drama', 'crime', 'action', 'war']","['drama', 'action', 'crime', 'war', 'history']"
620,,,Abstain,['2002']
640,,,"['horror', 'biography', 'drama', 'comedy']","['drama', 'romance', 'horror', 'comedy', 'biography']"
660,,,Abstain,"['tony_richardson', 'robert_altman', 'neil_armfield', 'dennis_hopper', 'joseph_mcgrath', 'christian_marquand']"
680,,,Abstain,"['action', 'drama', 'comedy', 'thriller', 'crime']"
700,,,Abstain,"['1986', '1948', '1992', '1982', '1994', '1979', '1999', '1965', '1974', '1967', '1971', '2002', '1988', '2005', '1976', '2011', '2010', '2013']"
720,,,['paolo_sorrentino'],['paolo_sorrentino']
740,,,Abstain,"['french', 'italian']"
760,,,Abstain,"['susan_seidelman', 'barbara_wilson', 'barry_strugatz', 'fay_weldon', 'david_cramer', 'shelly_gitlow', 'mark_r._burns']"
780,,,Abstain,"['wes_craven', 'arie_posin', 'steven_spielberg', 'jon_turteltaub', 'mike_figgis', 'wim_wenders', 'john_dahl', 'curtiss_clayton', 'david_lynch', 'carl_reiner', 'jonathan_kaplan', 'steve_miner', 'don_bluth', 'edward_zwick', 'donald_petrie', 'david_gordon_green', 'kevin_macdonald', 'doug_liman', 'gary_goldman', 'stephen_daldry', 'roland_emmerich', 'jake_kasdan', 'mel_brooks', 'harold_becker', 'jon_amiel']"
800,,,Abstain,['1968']
820,,,"['drama', 'comedy', 'horror', 'thriller', 'mystery', 'war']","['mystery', 'horror', 'drama', 'adventure', 'comedy', 'war', 'thriller']"
840,,,Abstain,['dylan_thomas']
860,,,"['1989', '1994', '2014', '1958', '1992', '2010', '1993', '2006', '2013', '1997', '1978', '2002', '1999']","['1993', '1992', '1994', '1997', '1978', '1999', '1989', '2002', '2006', '2010', '2014', '1958', '2013']"
880,,,"['1978', '1980', '1977', '1970']","['1977', '1970', '1980', '1978']"
900,,,"['comedy', 'fantasy', 'horror', 'animation', 'thriller', 'mystery', 'western']","['mystery', 'horror', 'fantasy', 'animation', 'western', 'comedy', 'musical', 'thriller']"
920,,,"['george_marshall', 'j._lee_thompson', 'john_guillermin']","['john_guillermin', 'george_marshall', 'j._lee_thompson']"
940,,,Abstain,"['2002', '1999']"
960,,,Abstain,"['neil_burger', 'sylvain_chomet', 'jacques_tati']"
980,,,"['action', 'comedy', 'drama', 'music']","['action', 'drama', 'comedy', 'music']"
1000,,,Abstain,"['2001', '1988', '2004', '1994']"
1020,,,Abstain,['french']
1040,,,Abstain,"['cesar_romero', 'jeff_chandler', 'richard_jaeckel', 'joan_crawford', 'frank_sinatra', 'ida_lupino', 'gary_cooper', 'burt_lancaster', 'dean_martin', 'ben_johnson', 'jim_brown', 'bruce_davison', 'catherine_deneuve', 'peter_falk', 'dorothy_malone', 'burt_reynolds', 'kirk_douglas', 'kim_novak', 'hardy_krüger', 'bette_davis', 'anita_ekberg', 'ernest_borgnine', 'gene_wilder', 'joseph_cotten', 'lee_marvin', 'cliff_robertson', 'eddie_albert', 'martine_carol', 'rock_hudson', 'jean_hagen', 'charles_bronson', 'robert_strauss', 'paul_winfield', 'peter_finch', 'ralph_meeker', 'vicki_frederick', 'harrison_ford', 'ursula_andress', 'wendell_corey', 'denise_darcel', 'james_stewart', 'jack_palance', 'laurene_landon', 'richard_attenborough']"
1060,,,Abstain,['persian']
1080,,,"['drama', 'crime', 'comedy', 'horror', 'action', 'thriller', 'music']","['horror', 'crime', 'drama', 'music', 'action', 'comedy', 'thriller']"
1100,,,Abstain,"['action', 'comedy', 'thriller', 'crime']"
1120,,,Abstain,['dominik_moll']
1140,,,"['2003', '2005', '2007', '1995', '1996', '2001']","['1995', '1983', '1980', '1996', '2003', '2001', '2007', '2005']"
1160,,,Abstain,"['jim_varney', 'iron_eyes_cody']"
1180,,,"['margaret_kennedy', 'marjorie_carleton', 'thomas_job', 'edith_kneipple_roberts', 'charles_hoffman', 'wilkie_collins', 'martin_vale']","['edith_kneipple_roberts', 'thomas_job', 'charles_hoffman', 'martin_vale', 'wilkie_collins', 'margaret_kennedy', 'marjorie_carleton']"
1200,,,"['jane_fonda', 'vanessa_redgrave', 'tilda_swinton', 'jason_robards']","['tilda_swinton', 'jane_fonda', 'jason_robards', 'vanessa_redgrave']"
1220,,,Abstain,"['drama', 'war']"
1240,,,"['2005', '2007', '2012', '2010', '2004', '2009', '2000', '2013', '1997', '2001', '2002', '1999']","['1997', '1999', '2002', '2000', '2001', '2006', '2007', '2004', '2005', '2009', '2010', '2013', '2012']"
1260,,,['japanese'],['japanese']
1280,,,"['2001', '1996']","['1922', '1948', '1985', '1981', '1941', '1946', '1947', '2010', '1933', '1932', '1931', '1951', '1936', '1954', '1952', '1938', '1994', '1996', '1999', '2001', '1937', '2008']"
1300,,,Abstain,"['danish', 'korean']"
1320,,,"['1963', '1944', '1941']","['1941', '1944', '1963']"
1340,,,Abstain,"['john_huston', 'harry_w._conn', 'edgar_allan_poe', 'dashiell_hammett', 'george_s._kaufman', 'brown_holmes', 'roland_kibbee', 'moss_hart', 'devery_freeman', 'rosalind_keating_shaffer', 'jack_mcgowan', 'john_d._klorer', 'maude_fulton', 'booth_tarkington', 'sid_silvers']"
1360,,,"['yekaterina_golubeva', 'david_paymer', 'richard_basehart', 'peter_ustinov', 'crispin_glover', 'guillaume_depardieu', 'catherine_deneuve', 'leo_genn', 'gregory_peck', 'robert_ryan']","['gregory_peck', 'leo_genn', 'richard_basehart', 'david_paymer', 'crispin_glover', 'catherine_deneuve', 'guillaume_depardieu', 'yekaterina_golubeva', 'peter_ustinov', 'robert_ryan']"
1380,,,Abstain,['2011']
1400,,,"['2003', '2005', '1995', '2007', '2000', '1993', '1975', '1996', '2013', '1973', '1990', '2011', '2001', '2002', '1999', '1974']","['1990', '1993', '1995', '1996', '1999', '1975', '1974', '1973', '2002', '2003', '2000', '2001', '2007', '2005', '2011', '2013']"
1420,,,Abstain,"['mark_a._altman', 'robert_meyer_burnett']"
1440,,,"['david_greene', 'steven_soderbergh', 'jay_roach', 'stanley_donen', 'harold_prince', 'robert_marcarelli', 'john_frankenheimer', 'desmond_davis', 'michael_anderson', 'martin_scorsese', 'don_taylor', 'marty_feldman', 'richard_stanley', 'clive_donner', 'robert_zemeckis', 'lech_majewski', 'alan_j._pakula']","['desmond_davis', 'michael_anderson', 'marty_feldman', 'robert_altman', 'robert_zemeckis', 'harold_prince', 'alan_j._pakula', 'stanley_donen', 'robert_marcarelli', 'richard_stanley', 'jay_roach', 'david_greene', 'clive_donner', 'don_taylor', 'lech_majewski', 'john_frankenheimer', 'steven_soderbergh', 'martin_scorsese']"
1460,,,Abstain,"['elfriede_jelinek', 'michael_haneke', 'santo_cilauro', 'tom_gleisner', 'rob_sitch']"
1480,,,"['1978', '1972']","['1978', '1960', '1972', '1979', '1961']"
1500,,,"['henry_hathaway', 'george_marshall', 'john_gilling', 'vincente_minnelli', 'clarence_brown', 'fritz_lang', 'george_cukor', 'elia_kazan', 'robert_wise', 'andrew_marton', 'george_seaton']","['elia_kazan', 'fritz_lang', 'henry_hathaway', 'luis_mandoki', 'george_seaton', 'vincente_minnelli', 'mark_robson', 'john_gilling', 'george_cukor', 'andrew_marton', 'clarence_brown', 'george_marshall', 'robert_wise']"
1520,,,Abstain,"['horror', 'comedy']"
1540,,,"['drama', 'crime', 'comedy', 'romance', 'horror', 'thriller', 'mystery', 'action']","['mystery', 'drama', 'horror', 'crime', 'romance', 'action', 'comedy', 'thriller']"
1560,,,"['drama', 'fantasy', 'adventure', 'music', 'action', 'war']","['drama', 'fantasy', 'music', 'adventure', 'action', 'comedy', 'war']"
1580,,,Abstain,"['lee_van_cleef', 'jack_palance']"
1600,,,"['john_cassavetes', 'susan_sarandon', 'cleavant_derricks', 'nick_nolte', 'ellen_burstyn', 'little_richard', 'gena_rowlands', 'art_carney', 'richard_dreyfuss', 'george_segal', 'woody_allen', 'robin_williams', 'bette_midler', 'donald_sutherland', 'susan_anspach', 'meg_mazursky', 'kris_kristofferson', 'marsha_mason', 'alejandro_rey', 'jill_clayburgh']","['robin_williams', 'marsha_mason', 'donald_sutherland', 'alejandro_rey', 'susan_sarandon', 'meg_mazursky', 'art_carney', 'john_cassavetes', 'george_segal', 'ellen_burstyn', 'jill_clayburgh', 'woody_allen', 'nick_nolte', 'richard_dreyfuss', 'bette_midler', 'little_richard', 'gena_rowlands', 'cleavant_derricks', 'kris_kristofferson', 'susan_anspach']"
1620,,,"['drama', 'crime', 'comedy', 'thriller', 'mystery']","['drama', 'mystery', 'comedy', 'thriller', 'crime']"
1640,,,"['drama', 'crime']","['drama', 'crime']"
1660,,,"['irwin_winkler', 'jay_cocks', 'richard_price', 'gerald_kersh']","['irwin_winkler', 'gerald_kersh', 'jay_cocks', 'richard_price']"
1680,,,"['drama', 'comedy', 'horror', 'adventure', 'thriller', 'mystery', 'action', 'war']","['mystery', 'horror', 'drama', 'adventure', 'action', 'comedy', 'war', 'thriller']"
1700,,,"['tye_sheridan', 'nicolas_cage', 'susan_sarandon', 'ronnie_gene_blevins']","['tye_sheridan', 'nicolas_cage', 'ronnie_gene_blevins', 'susan_sarandon']"
1720,,,"['2014', '1932', '1929', '1950', '1931', '1946', '1933']","['1946', '1933', '1932', '1931', '1937', '1950', '2014', '1929']"
1740,,,"['richard_crenna', 'candice_bergen', 'peter_falk', 'russ_tamblyn', 'richard_attenborough', 'james_cagney', 'julie_andrews', 'richard_johnson', 'boris_karloff', 'valentina_cortese', 'theodore_bikel', 'david_wayne', 'arthur_hill', 'shirley_maclaine', 'liam_neeson', 'george_c._scott', 'keanu_reeves', 'nastassja_kinski', 'anthony_hopkins', 'nick_offerman', 'james_olson', 'paul_douglas', 'susan_hayward', 'jess_weixler', 'keith_poulson', 'rossana_podestà', 'michael_rennie', 'simon_oakland', 'lawrence_tierney', 'fredric_march', 'lili_taylor', 'natalie_wood', 'stanley_baker', 'patricia_neal', 'jean_simmons', 'robert_mitchum', 'richard_beymer', 'kate_reid', 'julie_harris', 'bela_lugosi', 'ruby_dee', 'robert_preston', 'christopher_plummer', 'hugh_marlowe', 'marsha_mason', 'claire_trevor', 'richard_basehart', 'william_lundigan', 'barbara_bel_geddes', 'anthony_franciosa', 'barbara_stanwyck', 'william_holden', 'susan_swift', 'rita_moreno', 'owen_wilson', 'andrew_mccarthy', 'steve_mcqueen']","['david_wayne', 'christopher_plummer', 'lili_taylor', 'barbara_bel_geddes', 'boris_karloff', 'owen_wilson', 'richard_basehart', 'julie_harris', 'walter_slezak', 'peter_falk', 'liam_neeson', 'simon_oakland', 'marsha_mason', 'jean_simmons', 'james_cagney', 'claire_bloom', 'rossana_podestà', 'stanley_baker', 'rita_moreno', 'theodore_bikel', 'steve_mcqueen', 'michael_rennie', 'natalie_wood', 'richard_beymer', 'susan_swift', 'valentina_cortese', 'barbara_stanwyck', 'nick_offerman', 'cedric_hardwicke', 'kate_reid', 'arthur_hill', 'george_c._scott', 'anthony_hopkins', 'richard_johnson', 'keanu_reeves', 'audrey_totter', 'candice_bergen', 'jacques_sernas', 'paul_douglas', 'patricia_neal', 'lawrence_tierney', 'james_olson', 'bela_lugosi', 'andrew_mccarthy', 'shirley_maclaine', 'claire_trevor', 'robert_mitchum', 'keith_poulson', 'richard_burton', 'nastassja_kinski', 'fredric_march', 'julie_andrews', 'robert_preston', 'william_holden', 'william_lundigan', 'jess_weixler', 'russ_tamblyn', 'anthony_franciosa', 'hugh_marlowe', 'richard_crenna', 'richard_attenborough', 'robert_ryan', 'ruby_dee', 'susan_hayward']"
1760,,,"['christopher_walken', 'elisabeth_shue', 'dolph_lundgren', 'jeroen_krabbé', ""vincent_d'onofrio"", 'ray_stevenson', 'kim_miyori', 'val_kilmer']","['dolph_lundgren', 'kim_miyori', 'ray_stevenson', 'christopher_walken', 'elisabeth_shue', 'val_kilmer', ""vincent_d'onofrio"", 'jeroen_krabbé']"
1780,,,Abstain,"['joyce_brabner', 'emma_mclaughlin', 'jonathan_ames', 'robert_pulcini', 'nicola_kraus', 'shari_springer_berman', 'eleanor_henderson', 'harvey_pekar']"
1800,,,Abstain,"['patrick_sheane_duncan', 'don_keith_opper', 'stephen_herek', 'dodie_smith', 'domonic_muir', 'george_macdonald_fraser', 'john_j._mclaughlin', 'john_hughes', 'david_loughery', 'scott_lobdell']"
1820,,,['drama'],['drama']
1840,,,"['david_silverman', 'larry_charles', 'milcho_manchevski', 'frank_marshall', 'david_caesar', 'joel_coen', 'gillies_mackinnon', 'matt_aselton', 'sylvie_verheyde', 'elia_kazan', 'dan_scanlon', 'jonathan_teplitzky', 'david_byrne', 'philipp_stölzl', 'mike_nichols', 'martin_scorsese', 'steven_spielberg', 'david_kendall', 'pete_docter', 'john_erman', 'ethan_coen', 'jim_mcbride', 'lee_unkrich', 'uli_edel', 'ben_affleck', 'joe_dante', 'gregory_hoblit', 'glenn_jordan', 'brian_levant', 'george_cukor', 'harold_becker', 'luis_mandoki']","['joel_coen', 'elia_kazan', 'ben_affleck', 'david_kendall', 'steven_spielberg', 'brian_levant', 'george_cukor', 'philipp_stölzl', 'mike_nichols', 'sylvie_verheyde', 'milcho_manchevski', 'frank_marshall', 'ethan_coen', 'lee_unkrich', 'matt_aselton', 'jonathan_teplitzky', 'zack_snyder', 'john_erman', 'joe_dante', 'luis_mandoki', 'dan_scanlon', 'david_caesar', 'taylor_hackford', 'gillies_mackinnon', 'gregory_hoblit', 'uli_edel', 'pete_docter', 'larry_charles', 'david_silverman', 'martin_scorsese', 'david_byrne', 'bryan_gordon', 'glenn_jordan', 'harold_becker', 'jim_mcbride']"
1860,,,Abstain,['kazuaki_kiriya']
1880,,,Abstain,"['1991', '1987', '1948', '1992', '1982', '1994', '1997', '1996', '1999', '1998', '1981', '1946', '1988', '2000', '2001', '2005', '2014', '2008', '2013']"
1900,,,Abstain,"['german', 'french']"
1920,,,"['drama', 'crime', 'comedy', 'biography', 'adventure', 'action']","['romance', 'crime', 'drama', 'adventure', 'action', 'comedy', 'biography']"
1940,,,Abstain,['comedy']
1960,,,Abstain,"['1972', '1945', '1948', '1981', '1964', '1943', '1966', '1941', '1960', '1961', '1944', '1963', '1955', '1954', '1957', '1951', '1953', '1939', '1959', '1995', '1996', '1998', '1974', '1931', '1970', '1942', '1940']"
1980,,,"['amy_heckerling', 'cameron_crowe', 'mateo_gil', 'alejandro_amenábar']","['cameron_crowe', 'amy_heckerling', 'art_linson', 'alejandro_amenábar', 'mateo_gil']"
2000,,,"['thelma_strabel', 'frank_burt', 'moss_hart', 'burgess_meredith', 'will_cook', 'johnny_mercer', 'philip_yordan', 'andré_de_lorde', 'alec_coppel', 'billy_wilder', 'charles_w._goddard', 'arch_oboler', 'davis_grubb', 'laurence_stallings', 'paul_dickey', 'miklós_lászló', 'john_michael_hayes', 'borden_chase', 'samson_raphaelson', 'dana_burnet', 'cornell_woolrich', 'john_d._voelker', 'edward_streeter', 'ernest_pagano', 'samuel_a._taylor', 'octave_mirbeau', 'rosamond_marshall', 'lewis_r._foster', 'c._gardner_sullivan', 'joseph_dougherty', 'wendell_mayes', 'waldo_salt', 'graham_yost', 'george_s._kaufman', 'karl_tunberg', 'sidney_buchman', 'thomas_t._flynn', 'lou_breslow', 'mary_chase', 'paul_osborn', 'alan_le_may', 'robert_l._richards', 'ketti_frings', 'charles_brackett', 'miles_hood_swarthout', 'charles_bennett', 'glendon_swarthout', 'scott_hale', 'p.j._wolfson', 'nevil_shute', 'walter_deleon']","['john_twist', 'davis_grubb', 'wendell_mayes', 'walter_deleon', 'nunnally_johnson', 'dashiell_hammett', 'charles_bennett', 'andré_de_lorde', 'frank_burt', 'charles_lederer', 'will_cook', 'dorothy_m._johnson', 'borden_chase', 'paul_osborn', 'alan_le_may', 'ernest_pagano', 'thelma_strabel', 'rosamond_marshall', 'harold_jack_bloom', 'thomas_t._flynn', 'oliver_parker', 'max_brand', 'philip_van_doren_stern', 'alec_coppel', 'joseph_bologna', 'ketti_frings', 'lewis_r._foster', 'moss_hart', 'charles_brackett', 'paul_dickey', 'oscar_wilde', 'laurence_stallings', 'octave_mirbeau', 'p.j._wolfson', 'willis_goldbeck', 'sam_rolfe', 'don_whitehead', 'samson_raphaelson', 'philip_yordan', 'cornell_woolrich', 'nevil_shute', 'graham_yost', 'richard_l._breen', 'waldo_salt', 'george_s._kaufman', 'miles_hood_swarthout', 'james_lee_barrett', 'robert_l._richards', 'virginia_van_upp', 'c._gardner_sullivan', 'lou_breslow', 'philip_barry', 'dana_burnet', 'john_michael_hayes', 'frank_capra', 'scott_hale', 'miklós_lászló', 'renée_taylor', 'billy_wilder', 'james_warner_bellah', 'john_willard', 'henry_ephron', 'phoebe_ephron', 'burgess_meredith', 'arch_oboler', 'karl_tunberg', 'samuel_a._taylor', 'edward_streeter', 'john_d._voelker', 'donald_ogden_stewart', 'mary_chase', 'johnny_mercer', 'joseph_dougherty', 'charles_w._goddard', 'sidney_buchman', 'glendon_swarthout']"
